age,workclass,marital_status,race
78.96203608266143,Private-h1,Married-h1,White-h1
48.324386524372606,Private-h1,Married-h1,White-h1
50.73832912160076,Self-employed,Single,White-h1
22.066409442473248,Private-h1,Single,White-h1
23.87208775413325,Private-h1,Single,White-h1
33.626854258868924,Self-employed,Married-h1,White-h1
27.367759229874387,Private-h1,Single,White-h1
35.303987767315704,government department,Single,White-h1
42.30599958684815,Private-h1,Married-h1,White-h1
18.676923633135914,Private-h1,Single,White-h1
38.98763285629545,Private-h1,Married-h1,White-h1
57.12487439021425,Self-employed,Married-h1,White-h1
29.354644922413286,Private-h1,Married-h1,White-h1
33.82502551134177,Private-h1,Single,White-h1
52.98363058694259,Private-h1,Married-h1,White-h1
56.75186774911609,Self-employed,Married-h1,White-h1
47.29919314541357,government department,Married-h1,Non-White
56.16011694857785,Private-h1,Married-h1,White-h1
21.74927397828933,Private-h1,Single,White-h1
19.872467586086923,Private-h1,Single,White-h1
42.7086259831195,Private-h1,Married-h1,White-h1
25.570051375249346,Private-h1,Single,Non-White
26.89868316967981,government department,Married-h1,White-h1
23.31469006181346,Private-h1,Single,Non-White
48.38625855036399,Private-h1,Married-h1,White-h1
18.45379122499221,Private-h1,Single,White-h1
25.840477535370702,Private-h1,Married-h1,White-h1
46.703528589357994,Private-h1,Single,White-h1
30.97355016175043,Private-h1,Single,White-h1
25.592838056296873,Private-h1,Single,White-h1
38.392572535744996,Self-employed,Married-h1,White-h1
35.92361343101813,Private-h1,Married-h1,White-h1
42.37350187069427,Private-h1,Single,Non-White
38.51862659861156,government department,Married-h1,White-h1
43.10615339486985,Self-employed,Married-h1,White-h1
28.75499095226375,Private-h1,Married-h1,White-h1
22.560548670893606,Private-h1,Single,White-h1
51.153223555516064,Private-h1,Married-h1,Non-White
64.77400597681148,Self-employed,Married-h1,White-h1
27.734388120497826,Private-h1,Single,White-h1
22.287057269382498,Private-h1,Single,White-h1
41.53987500582976,Private-h1,Single,White-h1
67.4727779176476,Private-h1,Single,White-h1
24.896927120029417,Private-h1,Single,Non-White
21.636662268842507,Private-h1,Married-h1,White-h1
36.12074394617124,Private-h1,Widowhood,White-h1
65.6646250875031,Private-h1,Married-h1,White-h1
54.49210597528713,government department,Single,White-h1
29.277642529001533,Private-h1,Single,White-h1
36.07876494933139,Private-h1,Single,Non-White
26.94796471172942,Private-h1,Single,White-h1
48.46538164679013,Private-h1,Married-h1,White-h1
20.916749748771455,Private-h1,Single,White-h1
71.22020140015687,Self-employed,Married-h1,Non-White
22.225239961803318,Private-h1,Single,White-h1
42.4456813260825,Private-h1,Married-h1,Non-White
27.79647249389442,Private-h1,Single,White-h1
41.87708075029966,Self-employed,Single,Non-White
24.569928221486354,Private-h1,Single,Non-White
44.030856036373905,Self-employed,Married-h1,White-h1
34.17714606348695,Private-h1,Single,White-h1
48.88844005359202,government department,Single,White-h1
41.76829936889964,government department,Widowhood,White-h1
14.436576880976023,Private-h1,Single,White-h1
62.36459477443751,government department,Widowhood,White-h1
28.352123160956147,Private-h1,Single,White-h1
26.73302075270548,government department,Married-h1,White-h1
50.338777214605955,Private-h1,Married-h1,White-h1
30.968413024242473,Private-h1,Single,White-h1
25.12287404323678,government department,Married-h1,White-h1
27.446281666841752,Private-h1,Widowhood,White-h1
21.133890083877333,Private-h1,Single,Non-White
34.656127913357246,Private-h1,Single,Non-White
19.327696555793988,Private-h1,Single,White-h1
35.062830836065785,Private-h1,Married-h1,White-h1
43.73030883607975,government department,Married-h1,Non-White
42.111102650296615,Private-h1,Single,White-h1
29.381670939491524,Private-h1,Single,Non-White
44.38897353784959,Private-h1,Married-h1,White-h1
32.130172603655836,government department,Married-h1,White-h1
35.67085034141727,Private-h1,Married-h1,Non-White
42.48053656577004,Self-employed,Single,White-h1
27.581630441171303,Private-h1,Married-h1,White-h1
55.2972440995534,government department,Married-h1,White-h1
36.9371902444158,Private-h1,Single,Non-White
22.31212036810023,Private-h1,Married-h1,White-h1
40.4823157098079,government department,Married-h1,Non-White
46.862153311028145,Private-h1,Married-h1,White-h1
44.27721212461075,government department,Married-h1,White-h1
20.50094770934199,Private-h1,Married-h1,White-h1
36.348883415216854,Private-h1,Single,White-h1
42.79069524711386,government department,Single,White-h1
35.39627806654688,Private-h1,Married-h1,White-h1
18.635009388357766,Self-employed,Single,White-h1
28.010950158178133,Private-h1,Single,White-h1
47.94079525397216,Private-h1,Married-h1,White-h1
42.41612379165252,government department,Single,White-h1
33.74111807605179,government department,Single,White-h1
21.004666025923367,Private-h1,Single,White-h1
36.948068867080615,Private-h1,Married-h1,Non-White
35.01537264627736,Private-h1,Single,White-h1
56.99046261673938,Self-employed,Married-h1,White-h1
21.734868117066867,Private-h1,Single,White-h1
48.981304095209794,government department,Married-h1,Non-White
35.61887991600388,Private-h1,Married-h1,White-h1
38.323111884964646,Private-h1,Single,Non-White
57.20656113559438,Private-h1,Married-h1,Non-White
59.9931915548057,Self-employed,Married-h1,White-h1
37.391404855174976,Private-h1,Single,Non-White
49.90735437794941,Private-h1,Single,White-h1
35.6600574661753,Private-h1,Married-h1,White-h1
42.69005469986507,Private-h1,Married-h1,White-h1
27.78245898364507,Private-h1,Single,White-h1
29.189698090706973,Private-h1,Married-h1,White-h1
85.57951517234923,Private-h1,Single,Non-White
57.619286431199335,Private-h1,Married-h1,Non-White
51.407083254936076,government department,Single,White-h1
17.361428078231633,Private-h1,Single,White-h1
56.895310580157926,Self-employed,Married-h1,White-h1
70.28797436843132,Private-h1,Widowhood,White-h1
63.04409025521122,Private-h1,Single,White-h1
33.67082984790281,Private-h1,Married-h1,Non-White
39.33398884098645,Private-h1,Single,Non-White
27.0108346618273,Private-h1,Single,White-h1
31.41656322995636,Private-h1,Single,Non-White
35.73673943661079,Private-h1,Single,White-h1
64.24836774687238,government department,Married-h1,White-h1
41.562262139106046,government department,Single,White-h1
42.6350737555194,Private-h1,Married-h1,White-h1
31.350761822281495,government department,Married-h1,White-h1
18.390054583869194,Private-h1,Single,White-h1
40.981201116764865,Private-h1,Married-h1,White-h1
41.45844175630391,Self-employed,Married-h1,White-h1
24.291745556583923,government department,Married-h1,White-h1
35.87089631071253,Private-h1,Single,White-h1
56.88372898288379,Private-h1,Married-h1,White-h1
38.319495496278655,Private-h1,Single,White-h1
42.6976515670904,Private-h1,Married-h1,White-h1
44.89904699445826,Private-h1,Married-h1,White-h1
44.1278823592998,Private-h1,Married-h1,Non-White
55.62393371408033,government department,Widowhood,Non-White
17.876753204717694,government department,Single,White-h1
64.06697879094446,Private-h1,Single,White-h1
42.63404530563678,Self-employed,Married-h1,Non-White
24.086958199442794,Private-h1,Single,White-h1
36.073816291134385,Private-h1,Married-h1,White-h1
42.987194464824576,Private-h1,Widowhood,White-h1
50.007532793942666,Private-h1,Single,White-h1
31.15749503880653,Private-h1,Single,White-h1
42.54628809466158,Private-h1,Married-h1,White-h1
20.963630647064765,Private-h1,Single,White-h1
58.67691317470788,Private-h1,Married-h1,White-h1
32.014275743911966,Private-h1,Married-h1,White-h1
35.1739495801593,Self-employed,Married-h1,Non-White
64.11792029928668,Private-h1,Married-h1,White-h1
31.789367612323964,Private-h1,Single,White-h1
34.59536137237213,Private-h1,Married-h1,White-h1
65.96651648236217,Private-h1,Married-h1,White-h1
22.221668118200494,Private-h1,Single,White-h1
48.780071550665454,Self-employed,Married-h1,White-h1
26.26603322949198,government department,Single,White-h1
26.762045127066813,Private-h1,Single,White-h1
42.80571396026855,Private-h1,Married-h1,Non-White
46.56594677241892,Private-h1,Married-h1,White-h1
41.12516926548338,Private-h1,Single,White-h1
25.342723307602938,Private-h1,Single,White-h1
22.4241381077479,Private-h1,Married-h1,White-h1
23.05776019367021,Private-h1,Single,White-h1
44.92772241853935,government department,Married-h1,White-h1
34.95941843041334,Private-h1,Single,Non-White
58.68076058384915,Private-h1,Single,White-h1
20.71720822107358,Private-h1,Single,White-h1
56.485382299017125,government department,Married-h1,White-h1
44.046391191778426,Private-h1,Married-h1,White-h1
47.62022358202225,Private-h1,Single,White-h1
28.39539562393637,Private-h1,Single,White-h1
52.97110596791301,Private-h1,Married-h1,White-h1
36.69441627549394,Private-h1,Married-h1,White-h1
31.850365104454397,Private-h1,Single,White-h1
28.567265489119013,government department,Single,White-h1
21.488937690036185,Private-h1,Single,White-h1
27.237704343253103,Private-h1,Single,Non-White
60.14506806651541,Private-h1,Married-h1,White-h1
32.61917075602349,Self-employed,Single,White-h1
17.049196314731404,Private-h1,Single,White-h1
36.040689417694026,Private-h1,Single,White-h1
50.77327562895527,Private-h1,Married-h1,White-h1
13.954095731410465,Private-h1,Single,Non-White
27.767922408765354,Private-h1,Married-h1,White-h1
64.59782913660754,Private-h1,Married-h1,White-h1
21.656276768320094,Private-h1,Married-h1,Non-White
42.239369385190464,Private-h1,Single,White-h1
27.532522520786603,Private-h1,Single,White-h1
40.386203203934784,Private-h1,Single,White-h1
36.43060947764946,Private-h1,Married-h1,White-h1
42.71829144248348,Self-employed,Married-h1,White-h1
30.663311443365096,Private-h1,Single,White-h1
32.8854747146302,Private-h1,Married-h1,Non-White
35.995315112892456,Self-employed,Single,Non-White
20.41645090712775,Private-h1,Single,White-h1
25.34504786114365,Private-h1,Single,White-h1
83.07928391138739,Self-employed,Married-h1,White-h1
19.99512449042352,Private-h1,Married-h1,White-h1
29.189617140296612,Private-h1,Single,White-h1
62.77217412446469,Private-h1,Widowhood,White-h1
41.16377050396992,Self-employed,Married-h1,White-h1
42.995963800918865,Private-h1,Married-h1,White-h1
35.63816712348268,Private-h1,Single,White-h1
27.22490206415142,Private-h1,Single,White-h1
79.40508199913042,Self-employed,Married-h1,White-h1
64.88463704734022,Self-employed,Married-h1,White-h1
43.84547042496017,Private-h1,Married-h1,White-h1
59.340508905070486,Self-employed,Married-h1,White-h1
65.09116559708426,Private-h1,Single,White-h1
42.8604277192023,Private-h1,Single,Non-White
26.919405028586493,Private-h1,Single,White-h1
46.262730550030504,Private-h1,Single,White-h1
58.55200038242625,government department,Married-h1,White-h1
53.82408105734174,Private-h1,Married-h1,White-h1
22.784018919115777,Private-h1,Single,White-h1
27.98128751522639,Private-h1,Single,White-h1
49.81695664511342,Private-h1,Single,White-h1
20.283581243020212,Private-h1,Single,Non-White
40.683532845311504,Private-h1,Married-h1,Non-White
29.88018176561605,Private-h1,Single,White-h1
30.926974735486073,Private-h1,Married-h1,White-h1
36.63846435230515,government department,Married-h1,White-h1
35.01932932790671,Private-h1,Single,White-h1
19.42079754836811,government department,Single,Non-White
41.29962708710082,Self-employed,Single,White-h1
56.14526689417375,Private-h1,Widowhood,White-h1
29.298809121532535,Private-h1,Single,White-h1
34.59054551529377,Private-h1,Married-h1,White-h1
28.13843629464675,Private-h1,Married-h1,White-h1
36.4158900546845,Private-h1,Married-h1,White-h1
42.16207733815746,government department,Married-h1,White-h1
33.71368452375571,government department,Married-h1,White-h1
63.24330887648565,Private-h1,Widowhood,Non-White
38.64321292235939,Private-h1,Married-h1,White-h1
32.68069775464963,Private-h1,Married-h1,White-h1
27.989303926827574,Self-employed,Married-h1,White-h1
36.945090008322616,Private-h1,Married-h1,White-h1
64.28883582517471,Private-h1,Married-h1,White-h1
47.88844416965577,Private-h1,Married-h1,White-h1
46.20318102279694,Private-h1,Single,White-h1
20.696808065774672,Private-h1,Widowhood,White-h1
26.20372360805694,Private-h1,Married-h1,White-h1
56.285028400369264,Self-employed,Married-h1,White-h1
25.865967876013112,Private-h1,Single,White-h1
58.039135442734064,Private-h1,Single,White-h1
42.68769213798468,Private-h1,Single,White-h1
32.44255111415439,government department,Single,White-h1
22.469180210626458,Private-h1,Single,White-h1
42.29425272254435,government department,Married-h1,White-h1
39.017102382505186,Private-h1,Married-h1,Non-White
41.06746808454655,Private-h1,Single,Non-White
21.13167629179924,government department,Single,White-h1
35.723749217462675,Private-h1,Married-h1,White-h1
25.460035204013327,Private-h1,Single,White-h1
43.93491077305448,Self-employed,Single,White-h1
35.11536493613802,Private-h1,Married-h1,White-h1
57.25102859282195,Private-h1,Single,White-h1
42.8396326875572,Private-h1,Single,White-h1
26.04141544587693,Private-h1,Married-h1,White-h1
37.11310735156905,Private-h1,Single,White-h1
40.89179093556866,government department,Married-h1,White-h1
22.847438788083757,Private-h1,Single,White-h1
28.49693039281938,Private-h1,Married-h1,White-h1
42.59346787303316,Private-h1,Married-h1,White-h1
20.15518907834925,Private-h1,Single,White-h1
21.73344977784534,Private-h1,Single,White-h1
37.0692512593426,Private-h1,Married-h1,White-h1
31.67994656862285,Private-h1,Single,White-h1
42.41977804837019,Self-employed,Married-h1,White-h1
38.9879370268071,Private-h1,Single,White-h1
43.30124014128911,Private-h1,Married-h1,White-h1
43.99470926687475,Private-h1,Single,White-h1
31.999182548067115,Private-h1,Married-h1,White-h1
48.1483139945095,Self-employed,Married-h1,White-h1
21.175871258901314,Private-h1,Single,White-h1
24.3329000019781,Private-h1,Single,White-h1
49.341084720439454,government department,Married-h1,White-h1
33.104265974240256,Private-h1,Single,White-h1
27.174893949833603,Private-h1,Married-h1,Non-White
39.78668561126059,Private-h1,Married-h1,White-h1
30.93353116276268,Private-h1,Married-h1,White-h1
45.8471124785139,Self-employed,Married-h1,White-h1
44.540101496276094,Private-h1,Married-h1,White-h1
42.777076097113834,government department,Single,Non-White
21.751444125355544,Private-h1,Single,Non-White
35.63346746999035,Private-h1,Single,White-h1
42.037237001856376,Private-h1,Married-h1,White-h1
27.970056775155253,government department,Married-h1,White-h1
35.30056152903542,Private-h1,Single,White-h1
50.64227114934731,Private-h1,Married-h1,White-h1
29.347459473740745,Private-h1,Single,White-h1
32.602580790132066,government department,Married-h1,Non-White
32.70890967224158,government department,Single,White-h1
23.237237975233157,Private-h1,Married-h1,White-h1
17.91577709378525,Private-h1,Single,White-h1
34.390504436636995,government department,Married-h1,White-h1
26.469180729908405,Private-h1,Single,White-h1
37.14336630960091,Private-h1,Single,White-h1
31.55287678482907,Private-h1,Married-h1,White-h1
34.1211913249105,government department,Single,White-h1
25.1423332811365,Private-h1,Single,White-h1
61.46504210636477,Self-employed,Married-h1,White-h1
48.17162232177507,government department,Married-h1,White-h1
38.996422832326274,Self-employed,Widowhood,White-h1
33.95682560831456,Private-h1,Married-h1,White-h1
30.304333295169705,Private-h1,Single,Non-White
36.01660935295201,Private-h1,Married-h1,White-h1
29.022109253277794,government department,Single,Non-White
33.211021337149965,government department,Single,White-h1
21.911896989513394,Private-h1,Married-h1,White-h1
42.87934787307528,government department,Married-h1,White-h1
28.100185129317946,Private-h1,Single,White-h1
42.12617873232108,Private-h1,Single,White-h1
20.012600378767903,government department,Single,White-h1
44.34535249715609,Private-h1,Married-h1,White-h1
28.94479565804985,Private-h1,Single,White-h1
20.776927241577816,Private-h1,Single,White-h1
39.18438911611683,Private-h1,Widowhood,Non-White
49.77685780806625,Private-h1,Married-h1,Non-White
20.586384260696903,Private-h1,Married-h1,White-h1
20.74325519518241,Private-h1,Single,Non-White
42.218238670058746,Self-employed,Married-h1,White-h1
54.87884771470913,Private-h1,Married-h1,White-h1
42.652171840964286,Self-employed,Married-h1,White-h1
41.6228374544913,Private-h1,Married-h1,Non-White
28.52126037828587,Private-h1,Married-h1,White-h1
33.94060874324639,Private-h1,Married-h1,Non-White
21.373635425324167,Private-h1,Married-h1,White-h1
40.7906761803541,Private-h1,Single,White-h1
57.40357297951292,government department,Married-h1,Non-White
38.20340293181604,Private-h1,Married-h1,White-h1
50.13066717971848,Private-h1,Widowhood,White-h1
28.09906712763022,Private-h1,Single,White-h1
35.370583225905285,Private-h1,Married-h1,White-h1
49.831271881331304,Private-h1,Single,White-h1
35.103475050861164,Private-h1,Married-h1,White-h1
50.42003998600869,Private-h1,Married-h1,White-h1
18.40710670233967,Private-h1,Married-h1,White-h1
57.19841913615922,Private-h1,Single,White-h1
34.966201293183495,Private-h1,Single,White-h1
26.938169966165116,Private-h1,Single,White-h1
64.38738875130183,Private-h1,Single,White-h1
41.213364781467675,Private-h1,Single,White-h1
22.531167149841156,Private-h1,Single,White-h1
23.816248008635597,Private-h1,Single,White-h1
29.552566680192495,Private-h1,Single,White-h1
25.558243437110782,Private-h1,Single,White-h1
32.98720792703969,Private-h1,Married-h1,White-h1
37.35446912270992,Self-employed,Married-h1,White-h1
27.68338676219447,government department,Single,White-h1
42.96509331662359,Private-h1,Widowhood,White-h1
30.925485351555057,Private-h1,Widowhood,Non-White
59.056513168181695,government department,Married-h1,White-h1
39.49443445307505,government department,Single,White-h1
32.26888569425468,Private-h1,Married-h1,White-h1
43.70748952260938,Private-h1,Single,White-h1
39.944205938330434,government department,Single,White-h1
35.26683963277445,Private-h1,Single,White-h1
35.33694813026587,Private-h1,Single,White-h1
40.214360572469516,Private-h1,Single,White-h1
42.5664733417366,Private-h1,Single,White-h1
23.329397253336353,Private-h1,Single,White-h1
23.508585744231713,Private-h1,Single,White-h1
14.988939019369681,Private-h1,Single,White-h1
19.41940838280358,government department,Single,White-h1
66.5165587358292,government department,Married-h1,White-h1
51.01882013278393,Private-h1,Married-h1,White-h1
56.49183866612196,Private-h1,Single,White-h1
29.742549971741855,Private-h1,Single,White-h1
24.85322337868402,Private-h1,Single,Non-White
19.812146715909396,Private-h1,Single,White-h1
42.523203332823925,Private-h1,Married-h1,White-h1
48.131145532148814,government department,Married-h1,Non-White
41.49646799690779,Private-h1,Single,White-h1
52.667531931335695,Private-h1,Widowhood,White-h1
34.0315571572269,Private-h1,Single,White-h1
34.30095613169977,Private-h1,Married-h1,White-h1
29.937378477674645,Private-h1,Single,White-h1
28.99906768427425,Private-h1,Single,Non-White
33.123561202782845,Private-h1,Married-h1,White-h1
32.998006179997674,Self-employed,Married-h1,White-h1
49.47698578469818,Private-h1,Married-h1,White-h1
20.022951587303762,government department,Single,Non-White
36.709357579536785,government department,Married-h1,White-h1
42.25970663511324,Private-h1,Single,White-h1
27.3264093458942,Private-h1,Married-h1,White-h1
42.86560495146177,Private-h1,Married-h1,White-h1
71.39755767014258,Private-h1,Single,White-h1
37.658158573828516,Self-employed,Married-h1,White-h1
39.6097002840328,Self-employed,Married-h1,White-h1
46.52574861811457,Private-h1,Single,Non-White
27.462811493452982,Private-h1,Single,White-h1
35.337498019250184,Private-h1,Married-h1,Non-White
46.54601402728423,Private-h1,Married-h1,White-h1
64.07325079827473,Private-h1,Married-h1,White-h1
41.193098544005366,government department,Married-h1,White-h1
62.95525609394021,Private-h1,Widowhood,Non-White
26.638163411830693,Private-h1,Married-h1,White-h1
26.388224016646674,Self-employed,Single,White-h1
47.30395945027148,Private-h1,Married-h1,White-h1
28.16548234849312,Private-h1,Single,White-h1
27.37518118497975,Private-h1,Single,White-h1
28.19337710824996,Private-h1,Single,White-h1
16.954520787683798,Private-h1,Married-h1,White-h1
34.67529970574726,Private-h1,Single,White-h1
55.84179694998642,Private-h1,Married-h1,White-h1
35.28146836114916,government department,Married-h1,White-h1
22.04058607937584,Private-h1,Single,White-h1
26.894649474289235,Private-h1,Single,White-h1
41.19645616676411,Self-employed,Single,White-h1
36.39904279972499,Self-employed,Married-h1,White-h1
71.95631323623535,Private-h1,Widowhood,White-h1
35.10211691986329,Private-h1,Married-h1,Non-White
35.739919162496335,government department,Single,Non-White
74.51341705621317,Private-h1,Single,White-h1
32.76821559782918,Private-h1,Married-h1,White-h1
31.676898118012335,Private-h1,Married-h1,White-h1
25.370392539865385,Private-h1,Married-h1,White-h1
30.384634865402845,Private-h1,Single,White-h1
57.59506531424211,Private-h1,Married-h1,White-h1
51.94612861877811,Private-h1,Married-h1,White-h1
18.55860421226033,Private-h1,Single,Non-White
51.56400025272719,Self-employed,Married-h1,White-h1
19.420390062086792,Private-h1,Single,Non-White
40.20254556394102,Self-employed,Married-h1,White-h1
40.355674647297604,Private-h1,Married-h1,White-h1
23.8870083031726,Self-employed,Married-h1,White-h1
49.41495693019319,Private-h1,Single,White-h1
22.97846107605841,Private-h1,Single,White-h1
51.3572177406586,Private-h1,Married-h1,White-h1
21.129192517147686,Private-h1,Single,White-h1
35.245527108064465,Private-h1,Married-h1,White-h1
29.466222171568052,Private-h1,Single,White-h1
29.388513704075358,Private-h1,Married-h1,White-h1
33.13239855559284,Self-employed,Single,White-h1
58.92861818761814,government department,Single,White-h1
28.14816728696105,Self-employed,Married-h1,White-h1
52.89792874837501,Private-h1,Married-h1,White-h1
60.17293741529685,Private-h1,Married-h1,White-h1
28.534328733663674,Private-h1,Married-h1,White-h1
28.053102435438444,Self-employed,Single,White-h1
18.839612748949058,Private-h1,Single,White-h1
29.924055052585842,Private-h1,Single,White-h1
23.292438795185138,Private-h1,Single,White-h1
48.259705617495776,Private-h1,Married-h1,White-h1
55.61937103419316,Self-employed,Single,White-h1
51.97012593408446,Private-h1,Single,White-h1
33.10281745857628,Private-h1,Married-h1,White-h1
24.8974652996848,Private-h1,Single,White-h1
27.570070395412806,Private-h1,Single,White-h1
41.08501976697451,Self-employed,Married-h1,White-h1
28.393512995744523,Private-h1,Single,White-h1
41.371267449087156,Private-h1,Single,White-h1
32.817342053178436,Private-h1,Single,White-h1
23.07635210929125,Private-h1,Single,White-h1
55.3892687769621,Private-h1,Single,White-h1
40.005390624273794,government department,Married-h1,White-h1
35.87945977029092,Self-employed,Single,White-h1
48.953494680756236,Private-h1,Single,Non-White
50.489219280292076,Private-h1,Married-h1,White-h1
28.198112723501488,Private-h1,Single,Non-White
36.952051023295816,government department,Married-h1,Non-White
19.542758484745903,Private-h1,Single,White-h1
50.24049221583404,Private-h1,Single,White-h1
24.014954108315727,Private-h1,Single,White-h1
23.16631048011608,Private-h1,Married-h1,White-h1
29.377469261501354,government department,Single,White-h1
36.75084923715333,Private-h1,Single,White-h1
42.817748363399886,Private-h1,Single,White-h1
26.34933225284423,Private-h1,Married-h1,Non-White
58.990245662015795,Self-employed,Married-h1,White-h1
54.17706918483105,Self-employed,Married-h1,White-h1
46.52324391774787,Private-h1,Married-h1,White-h1
17.811305332704908,Private-h1,Single,White-h1
41.3774215767759,Private-h1,Widowhood,Non-White
64.18265121837425,Private-h1,Widowhood,Non-White
26.51459360739811,Private-h1,Married-h1,White-h1
50.29069084406921,Private-h1,Widowhood,White-h1
25.551434554954795,Private-h1,Single,Non-White
31.008643665930947,Private-h1,Married-h1,White-h1
33.634841963417905,Self-employed,Married-h1,White-h1
25.3375486425618,Private-h1,Married-h1,White-h1
53.46227318649242,Private-h1,Married-h1,White-h1
45.37295197297375,Self-employed,Single,Non-White
48.21947231810879,government department,Married-h1,Non-White
42.85898244099078,Private-h1,Married-h1,White-h1
29.656414709927265,Private-h1,Married-h1,Non-White
57.511436805781074,Self-employed,Married-h1,White-h1
20.9117395392357,Private-h1,Single,White-h1
22.68151011680881,Private-h1,Single,White-h1
37.149759922230196,Private-h1,Married-h1,White-h1
49.73432791452311,Self-employed,Married-h1,White-h1
48.38856839794422,Self-employed,Married-h1,White-h1
30.23611267278226,Private-h1,Single,White-h1
59.95421588463842,Private-h1,Married-h1,White-h1
19.841119954944972,Private-h1,Single,White-h1
34.01472737693479,Private-h1,Married-h1,White-h1
23.603297908458806,Private-h1,Married-h1,White-h1
49.54962420290403,Self-employed,Married-h1,White-h1
29.967505733022456,government department,Single,White-h1
72.91623951213207,Private-h1,Married-h1,White-h1
24.62015449743532,government department,Married-h1,White-h1
19.933363663658696,Private-h1,Single,White-h1
18.76643071177839,Private-h1,Single,White-h1
34.9108578012991,Private-h1,Married-h1,Non-White
34.59231169228648,government department,Married-h1,White-h1
