age	workclass	education	education_num	marital_status	occupation	relationship	race	sex	capital_gain	capital_loss	hours_per_week	native_country
(16.927, 24.3]	Private-h1	Some-college	10	Single	Machine-op-inspct	Not-in-family	White-h1	Male	0	0	40	United-States
(75.4, 82.7]	Private-h1	Some-college	10	Married-h1	Prof-specialty	Other-relative	White-h1	Male	0	0	20	United-States
(24.3, 31.6]	Private-h1	HS-grad	9	Single	Other-service	Own-child	White-h1	Male	0	0	40	Mexico
(38.9, 46.2]	Private-h1	Assoc-acdm	12	Married-h1	Adm-clerical	Husband	White-h1	Male	0	0	40	United-States
(16.927, 24.3]	Private-h1	11th	7	Single	Other-service	Own-child	White-h1	Female	0	0	22	United-States
(24.3, 31.6]	government department	7th-8th	4	Married-h1	Farming-fishing	Husband	White-h1	Male	0	0	40	United-States
(16.927, 24.3]	Private-h1	HS-grad	9	Single	Sales	Not-in-family	White-h1	Male	0	0	30	United-States
(46.2, 53.5]	Private-h1	Bachelors	13	Married-h1	Other-service	Husband	White-h1	Male	0	0	40	Cuba
(38.9, 46.2]	Private-h1	HS-grad	9	Married-h1	Other-service	Wife	White-h1	Female	0	0	40	United-States
(53.5, 60.8]	Private-h1	HS-grad	9	Married-h1	Sales	Husband	White-h1	Male	0	0	48	United-States
(38.9, 46.2]	Private-h1	HS-grad	9	Single	Craft-repair	Not-in-family	White-h1	Female	14344	0	40	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Single	Sales	Own-child	White-h1	Female	0	0	35	United-States
(46.2, 53.5]	government department	HS-grad	9	Married-h1	Protective-serv	Husband	White-h1	Male	0	0	40	United-States
(31.6, 38.9]	Private-h1	Masters	14	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	50	United-States
(24.3, 31.6]	Private-h1	9th	5	Single	Sales	Not-in-family	White-h1	Male	0	0	40	United-States
(38.9, 46.2]	government department	Doctorate	16	Single	Prof-specialty	Not-in-family	White-h1	Female	0	0	50	United-States
(53.5, 60.8]	Private-h1	Assoc-voc	11	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	40	United-States
(31.6, 38.9]	Private-h1	Some-college	10	Single	Craft-repair	Unmarried	White-h1	Female	0	0	40	United-States
(24.3, 31.6]	Private-h1	Some-college	10	Single	Machine-op-inspct	Unmarried	Non-White	Female	0	0	25	United-States
(31.6, 38.9]	government department	Bachelors	13	Married-h1	Protective-serv	Husband	White-h1	Male	0	0	40	United-States
(24.3, 31.6]	government department	Some-college	10	Single	Handlers-cleaners	Not-in-family	White-h1	Male	0	0	50	United-States
(46.2, 53.5]	Self-employed	Doctorate	16	Married-h1	Prof-specialty	Husband	White-h1	Male	0	1902	60	United-States
(31.6, 38.9]	Private-h1	Some-college	10	Married-h1	Sales	Husband	White-h1	Male	0	0	48	United-States
(46.2, 53.5]	Private-h1	Assoc-acdm	12	Single	Exec-managerial	Unmarried	White-h1	Female	0	0	40	England
(31.6, 38.9]	government department	HS-grad	9	Single	Other-service	Own-child	Non-White	Male	0	0	40	United-States
(75.4, 82.7]	Private-h1	Masters	14	Married-h1	Exec-managerial	Husband	White-h1	Male	0	0	40	United-States
(38.9, 46.2]	Private-h1	Bachelors	13	Married-h1	Exec-managerial	Husband	White-h1	Male	15024	0	60	United-States
(46.2, 53.5]	Self-employed	Masters	14	Single	Prof-specialty	Not-in-family	White-h1	Female	0	0	50	United-States
(16.927, 24.3]	Private-h1	Some-college	10	Single	Tech-support	Own-child	White-h1	Female	0	0	40	United-States
(24.3, 31.6]	Private-h1	HS-grad	9	Single	Craft-repair	Not-in-family	White-h1	Male	0	0	40	United-States
(31.6, 38.9]	Self-employed	HS-grad	9	Married-h1	Craft-repair	Husband	White-h1	Male	7688	0	40	United-States
(24.3, 31.6]	Private-h1	11th	7	Single	Handlers-cleaners	Own-child	White-h1	Male	0	0	40	United-States
(24.3, 31.6]	government department	HS-grad	9	Single	Adm-clerical	Not-in-family	White-h1	Female	0	0	40	United-States
(38.9, 46.2]	Private-h1	HS-grad	9	Married-h1	Handlers-cleaners	Husband	White-h1	Male	0	0	40	United-States
(16.927, 24.3]	Private-h1	Bachelors	13	Single	Sales	Other-relative	White-h1	Male	0	0	40	United-States
(31.6, 38.9]	Private-h1	Prof-school	15	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	40	United-States
(53.5, 60.8]	Self-employed	HS-grad	9	Married-h1	Other-service	Husband	White-h1	Male	0	1887	50	Canada
(24.3, 31.6]	Private-h1	Some-college	10	Married-h1	Sales	Wife	White-h1	Female	4064	0	25	United-States
(31.6, 38.9]	Private-h1	HS-grad	9	Single	Machine-op-inspct	Own-child	White-h1	Female	0	0	40	United-States
(46.2, 53.5]	Private-h1	9th	5	Married-h1	Handlers-cleaners	Husband	White-h1	Male	0	0	50	United-States
(53.5, 60.8]	Self-employed	Some-college	10	Married-h1	Sales	Husband	White-h1	Male	0	0	50	United-States
(46.2, 53.5]	government department	Assoc-voc	11	Married-h1	Craft-repair	Husband	Non-White	Male	0	0	40	United-States
(53.5, 60.8]	Private-h1	Some-college	10	Married-h1	Sales	Husband	White-h1	Male	0	0	56	United-States
(16.927, 24.3]	Private-h1	HS-grad	9	Single	Craft-repair	Not-in-family	White-h1	Male	0	0	41	United-States
(16.927, 24.3]	Private-h1	Some-college	10	Single	Other-service	Own-child	White-h1	Female	0	0	40	United-States
(38.9, 46.2]	Private-h1	Bachelors	13	Married-h1	Exec-managerial	Husband	White-h1	Male	0	0	60	United-States
(24.3, 31.6]	Private-h1	Bachelors	13	Single	Exec-managerial	Own-child	Non-White	Male	0	0	40	Germany
(24.3, 31.6]	government department	Bachelors	13	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	50	United-States
(16.927, 24.3]	Private-h1	Some-college	10	Single	Other-service	Own-child	Non-White	Male	0	0	35	United-States
(46.2, 53.5]	Private-h1	Bachelors	13	Married-h1	Exec-managerial	Wife	White-h1	Female	0	0	40	United-States
(16.927, 24.3]	Private-h1	Some-college	10	Single	Adm-clerical	Own-child	White-h1	Female	0	1719	28	United-States
(24.3, 31.6]	Private-h1	Assoc-acdm	12	Married-h1	Adm-clerical	Husband	White-h1	Male	0	0	40	United-States
(38.9, 46.2]	Private-h1	Some-college	10	Single	Craft-repair	Not-in-family	White-h1	Male	0	0	40	United-States
(24.3, 31.6]	Private-h1	Assoc-acdm	12	Single	Sales	Not-in-family	White-h1	Female	0	0	60	United-States
(16.927, 24.3]	Private-h1	HS-grad	9	Single	Other-service	Not-in-family	White-h1	Female	0	1762	40	United-States
(31.6, 38.9]	Self-employed	HS-grad	9	Married-h1	Craft-repair	Husband	White-h1	Male	4386	0	35	United-States
(31.6, 38.9]	Private-h1	Bachelors	13	Married-h1	Sales	Husband	White-h1	Male	0	0	50	United-States
(38.9, 46.2]	Private-h1	Assoc-acdm	12	Single	Tech-support	Not-in-family	Non-White	Female	0	0	36	United-States
(31.6, 38.9]	government department	Masters	14	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	40	Iran
(38.9, 46.2]	Self-employed	HS-grad	9	Married-h1	Craft-repair	Husband	White-h1	Male	0	0	60	United-States
(24.3, 31.6]	Private-h1	Assoc-voc	11	Married-h1	Adm-clerical	Wife	White-h1	Female	0	0	35	United-States
(16.927, 24.3]	Private-h1	Some-college	10	Single	Sales	Own-child	White-h1	Male	0	0	20	United-States
(46.2, 53.5]	Private-h1	Some-college	10	Married-h1	Craft-repair	Husband	Non-White	Male	0	0	40	United-States
(60.8, 68.1]	Self-employed	HS-grad	9	Married-h1	Craft-repair	Husband	White-h1	Male	0	0	40	United-States
(24.3, 31.6]	Private-h1	Some-college	10	Single	Sales	Own-child	White-h1	Female	0	0	40	United-States
(16.927, 24.3]	Private-h1	Some-college	10	Single	Other-service	Own-child	White-h1	Male	0	0	30	Mexico
(38.9, 46.2]	Private-h1	Assoc-voc	11	Single	Prof-specialty	Not-in-family	White-h1	Female	0	1564	40	United-States
(68.1, 75.4]	Private-h1	Some-college	10	Single	Tech-support	Other-relative	White-h1	Male	0	0	40	United-States
(24.3, 31.6]	Private-h1	HS-grad	9	Single	Transport-moving	Unmarried	Non-White	Female	0	0	30	United-States
(16.927, 24.3]	Private-h1	Some-college	10	Married-h1	Other-service	Husband	White-h1	Male	0	0	24	United-States
(31.6, 38.9]	Private-h1	HS-grad	9	Widowhood	Other-service	Unmarried	White-h1	Female	0	0	24	United-States
(60.8, 68.1]	Private-h1	11th	7	Married-h1	Craft-repair	Husband	White-h1	Male	0	2179	40	United-States
(46.2, 53.5]	government department	Some-college	10	Single	Adm-clerical	Unmarried	White-h1	Female	0	0	38	Mexico
(31.6, 38.9]	Private-h1	HS-grad	9	Single	Adm-clerical	Not-in-family	White-h1	Female	0	0	40	United-States
(31.6, 38.9]	Private-h1	Bachelors	13	Single	Exec-managerial	Other-relative	Non-White	Female	0	0	40	Philippines
(16.927, 24.3]	Private-h1	HS-grad	9	Single	Craft-repair	Own-child	White-h1	Male	0	0	35	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Married-h1	Craft-repair	Husband	White-h1	Male	0	0	46	United-States
(16.927, 24.3]	Private-h1	Bachelors	13	Single	Handlers-cleaners	Not-in-family	White-h1	Male	0	0	40	United-States
(68.1, 75.4]	Self-employed	Some-college	10	Married-h1	Sales	Unmarried	Non-White	Male	0	1816	2	United-States
(24.3, 31.6]	Private-h1	HS-grad	9	Single	Craft-repair	Not-in-family	White-h1	Male	0	0	60	United-States
(38.9, 46.2]	Private-h1	Bachelors	13	Married-h1	Other-service	Other-relative	Non-White	Male	0	0	50	United-States
(24.3, 31.6]	Private-h1	HS-grad	9	Single	Other-service	Unmarried	White-h1	Female	0	0	40	United-States
(38.9, 46.2]	Self-employed	Masters	14	Single	Exec-managerial	Unmarried	Non-White	Female	0	0	40	United-States
(24.3, 31.6]	Private-h1	HS-grad	9	Single	Exec-managerial	Not-in-family	Non-White	Female	0	0	40	England
(38.9, 46.2]	Self-employed	Masters	14	Married-h1	Sales	Husband	White-h1	Male	0	0	40	United-States
(31.6, 38.9]	Private-h1	Some-college	10	Single	Other-service	Unmarried	White-h1	Female	0	0	40	Mexico
(38.9, 46.2]	government department	Assoc-acdm	12	Single	Exec-managerial	Not-in-family	White-h1	Male	0	0	42	United-States
(38.9, 46.2]	government department	Masters	14	Widowhood	Protective-serv	Unmarried	White-h1	Male	0	0	40	United-States
(16.927, 24.3]	Private-h1	11th	7	Single	Handlers-cleaners	Own-child	White-h1	Male	0	0	16	United-States
(60.8, 68.1]	government department	Assoc-voc	11	Widowhood	Prof-specialty	Not-in-family	White-h1	Female	0	0	20	United-States
(24.3, 31.6]	Private-h1	HS-grad	9	Single	Other-service	Not-in-family	White-h1	Male	0	1980	40	United-States
(24.3, 31.6]	government department	HS-grad	9	Married-h1	Protective-serv	Husband	White-h1	Male	0	0	40	United-States
(46.2, 53.5]	Private-h1	Some-college	10	Married-h1	Sales	Husband	White-h1	Male	0	1977	40	United-States
(24.3, 31.6]	Private-h1	Bachelors	13	Single	Craft-repair	Not-in-family	White-h1	Male	0	0	50	United-States
(24.3, 31.6]	government department	Bachelors	13	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	40	United-States
(24.3, 31.6]	Private-h1	HS-grad	9	Widowhood	Sales	Unmarried	White-h1	Female	0	0	25	United-States
(16.927, 24.3]	Private-h1	HS-grad	9	Single	Craft-repair	Own-child	Non-White	Male	0	0	40	United-States
(31.6, 38.9]	Private-h1	HS-grad	9	Single	Handlers-cleaners	Not-in-family	Non-White	Male	0	0	40	United-States
(16.927, 24.3]	Private-h1	HS-grad	9	Single	Other-service	Own-child	White-h1	Male	0	0	12	United-States
(31.6, 38.9]	Private-h1	Bachelors	13	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	65	United-States
(38.9, 46.2]	government department	Some-college	10	Married-h1	Exec-managerial	Husband	Non-White	Male	0	0	38	United-States
(38.9, 46.2]	Private-h1	Some-college	10	Single	Adm-clerical	Not-in-family	White-h1	Female	0	0	40	United-States
(24.3, 31.6]	Private-h1	Some-college	10	Single	Craft-repair	Not-in-family	Non-White	Male	0	0	45	United-States
(38.9, 46.2]	Private-h1	7th-8th	4	Married-h1	Machine-op-inspct	Husband	White-h1	Male	0	0	40	Mexico
(31.6, 38.9]	government department	Some-college	10	Married-h1	Adm-clerical	Husband	White-h1	Male	0	0	42	United-States
(31.6, 38.9]	Private-h1	HS-grad	9	Married-h1	Adm-clerical	Husband	Non-White	Male	0	0	40	United-States
(38.9, 46.2]	Self-employed	Bachelors	13	Single	Exec-managerial	Not-in-family	White-h1	Female	0	0	40	United-States
(24.3, 31.6]	Private-h1	Masters	14	Married-h1	Prof-specialty	Wife	White-h1	Female	0	0	50	United-States
(53.5, 60.8]	government department	Doctorate	16	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	1	United-States
(31.6, 38.9]	Private-h1	Some-college	10	Single	Machine-op-inspct	Not-in-family	Non-White	Female	0	0	28	United-States
(16.927, 24.3]	Private-h1	Some-college	10	Married-h1	Machine-op-inspct	Husband	White-h1	Male	0	0	40	United-States
(38.9, 46.2]	government department	Bachelors	13	Married-h1	Craft-repair	Husband	Non-White	Male	0	0	40	United-States
(46.2, 53.5]	Private-h1	Some-college	10	Married-h1	Tech-support	Husband	White-h1	Male	0	0	45	United-States
(38.9, 46.2]	government department	Bachelors	13	Married-h1	Tech-support	Husband	White-h1	Male	0	0	24	United-States
(16.927, 24.3]	Private-h1	5th-6th	3	Married-h1	Transport-moving	Other-relative	White-h1	Male	0	0	40	Mexico
(31.6, 38.9]	Private-h1	Some-college	10	Single	Craft-repair	Not-in-family	White-h1	Male	0	0	40	United-States
(38.9, 46.2]	government department	Masters	14	Single	Exec-managerial	Not-in-family	White-h1	Female	14084	0	55	United-States
(31.6, 38.9]	Private-h1	Masters	14	Married-h1	Prof-specialty	Other-relative	White-h1	Male	7298	0	40	United-States
(16.927, 24.3]	Self-employed	HS-grad	9	Single	Sales	Not-in-family	White-h1	Male	0	0	40	United-States
(24.3, 31.6]	Private-h1	Masters	14	Single	Prof-specialty	Not-in-family	White-h1	Female	0	1876	40	United-States
(46.2, 53.5]	Private-h1	Bachelors	13	Married-h1	Exec-managerial	Husband	White-h1	Male	0	0	50	United-States
(38.9, 46.2]	government department	Some-college	10	Single	Prof-specialty	Not-in-family	White-h1	Female	0	1340	40	United-States
(31.6, 38.9]	government department	HS-grad	9	Single	Adm-clerical	Unmarried	White-h1	Female	0	0	35	United-States
(16.927, 24.3]	Private-h1	11th	7	Single	Sales	Own-child	White-h1	Female	0	0	40	United-States
(31.6, 38.9]	Private-h1	Bachelors	13	Married-h1	Other-service	Husband	Non-White	Male	7298	0	36	United-States
(31.6, 38.9]	Private-h1	HS-grad	9	Single	Craft-repair	Not-in-family	White-h1	Male	0	0	60	United-States
(53.5, 60.8]	Self-employed	HS-grad	9	Married-h1	Sales	Wife	White-h1	Female	15024	0	35	United-States
(16.927, 24.3]	Private-h1	11th	7	Single	Sales	Own-child	White-h1	Female	0	0	12	United-States
(38.9, 46.2]	government department	HS-grad	9	Married-h1	Transport-moving	Husband	Non-White	Male	0	0	40	United-States
(31.6, 38.9]	Private-h1	HS-grad	9	Married-h1	Craft-repair	Husband	White-h1	Male	0	0	40	United-States
(31.6, 38.9]	Private-h1	Some-college	10	Single	Sales	Not-in-family	Non-White	Female	0	0	40	United-States
(53.5, 60.8]	Private-h1	HS-grad	9	Married-h1	Craft-repair	Husband	Non-White	Male	0	0	40	United-States
(53.5, 60.8]	Self-employed	7th-8th	4	Married-h1	Machine-op-inspct	Husband	White-h1	Male	0	0	40	United-States
(31.6, 38.9]	Private-h1	Bachelors	13	Single	Exec-managerial	Not-in-family	Non-White	Male	0	0	60	United-States
(46.2, 53.5]	Private-h1	Assoc-acdm	12	Single	Sales	Not-in-family	White-h1	Female	0	0	40	United-States
(31.6, 38.9]	Private-h1	Bachelors	13	Married-h1	Sales	Husband	White-h1	Male	0	0	50	Poland
(38.9, 46.2]	Private-h1	Bachelors	13	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	55	United-States
(24.3, 31.6]	Private-h1	10th	6	Single	Craft-repair	Not-in-family	White-h1	Male	0	0	40	United-States
(24.3, 31.6]	Private-h1	Some-college	10	Married-h1	Handlers-cleaners	Husband	White-h1	Male	0	0	40	United-States
(82.7, 90.0]	Private-h1	HS-grad	9	Single	Other-service	Not-in-family	Non-White	Male	0	2206	40	United-States
(53.5, 60.8]	Private-h1	HS-grad	9	Married-h1	Adm-clerical	Husband	Non-White	Male	0	0	20	United-States
(46.2, 53.5]	government department	Preschool	1	Single	Machine-op-inspct	Not-in-family	White-h1	Female	0	0	35	United-States
(16.927, 24.3]	Private-h1	HS-grad	9	Single	Sales	Own-child	White-h1	Female	0	0	40	United-States
(60.8, 68.1]	Self-employed	HS-grad	9	Married-h1	Farming-fishing	Husband	White-h1	Male	1409	0	50	United-States
(68.1, 75.4]	Private-h1	Assoc-voc	11	Widowhood	Adm-clerical	Not-in-family	White-h1	Female	0	0	20	Columbia
(60.8, 68.1]	Private-h1	HS-grad	9	Single	Adm-clerical	Not-in-family	White-h1	Female	0	0	40	United-States
(31.6, 38.9]	Private-h1	11th	7	Married-h1	Transport-moving	Not-in-family	Non-White	Male	3674	0	40	United-States
(38.9, 46.2]	Private-h1	HS-grad	9	Single	Sales	Unmarried	Non-White	Female	0	0	38	United-States
(24.3, 31.6]	Private-h1	Some-college	10	Single	Adm-clerical	Not-in-family	White-h1	Male	0	0	42	United-States
(31.6, 38.9]	Private-h1	Some-college	10	Single	Craft-repair	Other-relative	Non-White	Female	0	0	40	United-States
(24.3, 31.6]	Private-h1	Prof-school	15	Single	Prof-specialty	Not-in-family	White-h1	Male	0	0	55	United-States
(53.5, 60.8]	government department	HS-grad	9	Married-h1	Other-service	Husband	White-h1	Male	0	0	40	United-States
(38.9, 46.2]	government department	Some-college	10	Single	Adm-clerical	Not-in-family	White-h1	Female	0	0	38	United-States
(38.9, 46.2]	Private-h1	Bachelors	13	Married-h1	Exec-managerial	Husband	White-h1	Male	0	0	50	Iran
(31.6, 38.9]	government department	Masters	14	Married-h1	Exec-managerial	Husband	White-h1	Male	0	0	70	United-States
(16.927, 24.3]	Private-h1	HS-grad	9	Single	Transport-moving	Own-child	White-h1	Male	0	0	40	United-States
(38.9, 46.2]	Private-h1	Bachelors	13	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	40	United-States
(38.9, 46.2]	Self-employed	HS-grad	9	Married-h1	Other-service	Wife	White-h1	Female	0	0	20	United-States
(16.927, 24.3]	government department	Assoc-acdm	12	Married-h1	Protective-serv	Husband	White-h1	Male	0	0	50	United-States
(31.6, 38.9]	Private-h1	Some-college	10	Single	Craft-repair	Not-in-family	White-h1	Male	0	1741	40	United-States
(53.5, 60.8]	Private-h1	HS-grad	9	Married-h1	Adm-clerical	Husband	White-h1	Male	0	0	45	United-States
(31.6, 38.9]	Private-h1	HS-grad	9	Single	Other-service	Not-in-family	White-h1	Female	0	0	34	United-States
(38.9, 46.2]	Private-h1	Assoc-acdm	12	Married-h1	Tech-support	Husband	White-h1	Male	0	1977	60	United-States
(38.9, 46.2]	Private-h1	Prof-school	15	Married-h1	Prof-specialty	Wife	White-h1	Female	0	0	40	United-States
(38.9, 46.2]	Private-h1	Bachelors	13	Married-h1	Adm-clerical	Wife	Non-White	Female	0	0	40	United-States
(53.5, 60.8]	government department	10th	6	Widowhood	Other-service	Unmarried	Non-White	Female	0	0	30	United-States
(16.927, 24.3]	government department	Some-college	10	Single	Adm-clerical	Own-child	White-h1	Male	0	0	40	United-States
